,date,region_code,region,recovered,active_cases,deceased,cases
63,2020-12-09,0,total-balears,21757.0,4385.0,427.0,26513.0
63,2020-12-09,1,Eivissa,3195.0,382.0,26.0,3580.0
63,2020-12-09,3,Mallorca,17724.0,3809.0,386.0,21887.0
64,2020-12-10,2,Formentera,153.0,14.0,1.0,168.0
64,2020-12-10,4,Menorca,687.0,184.0,14.0,884.0
64,2020-12-10,0,total-balears,21873.0,4571.0,428.0,26818.0
64,2020-12-10,1,Eivissa,3203.0,392.0,26.0,3598.0
64,2020-12-10,3,Mallorca,17830.0,3981.0,387.0,22168.0
65,2020-12-11,2,Formentera,153.0,14.0,1.0,168.0
65,2020-12-11,0,total-balears,21873.0,4571.0,428.0,26818.0
65,2020-12-11,4,Menorca,687.0,184.0,14.0,884.0
65,2020-12-11,1,Eivissa,3203.0,392.0,26.0,3598.0
65,2020-12-11,3,Mallorca,17830.0,3981.0,387.0,22168.0
66,2020-12-12,1,Eivissa,3203.0,392.0,26.0,3598.0
66,2020-12-12,2,Formentera,153.0,14.0,1.0,168.0
66,2020-12-12,4,Menorca,687.0,184.0,14.0,884.0
66,2020-12-12,0,total-balears,21873.0,4571.0,428.0,26818.0
66,2020-12-12,3,Mallorca,17830.0,3981.0,387.0,22168.0
67,2020-12-13,1,Eivissa,3227.0,396.0,26.0,3626.0
67,2020-12-13,2,Formentera,153.0,19.0,1.0,173.0
67,2020-12-13,4,Menorca,703.0,183.0,14.0,899.0
67,2020-12-13,0,total-balears,22172.0,5237.0,430.0,27785.0
67,2020-12-13,3,Mallorca,18089.0,4639.0,389.0,23087.0
68,2020-12-14,1,Eivissa,3237.0,401.0,26.0,3641.0
68,2020-12-14,2,Formentera,154.0,19.0,1.0,174.0
68,2020-12-14,0,total-balears,22284.0,5423.0,432.0,28085.0
68,2020-12-14,3,Mallorca,18184.0,4816.0,391.0,23361.0
68,2020-12-14,4,Menorca,709.0,187.0,14.0,909.0
69,2020-12-15,2,Formentera,155.0,28.0,1.0,184.0
69,2020-12-15,0,total-balears,22799.0,5304.0,435.0,28486.0
69,2020-12-15,4,Menorca,726.0,177.0,14.0,916.0
69,2020-12-15,3,Mallorca,18640.0,4727.0,394.0,23733.0
69,2020-12-15,1,Eivissa,3278.0,372.0,26.0,3653.0
70,2020-12-16,3,Mallorca,18889.0,4827.0,395.0,24083.0
70,2020-12-16,4,Menorca,735.0,175.0,15.0,924.0
70,2020-12-16,2,Formentera,156.0,37.0,1.0,194.0
70,2020-12-16,0,total-balears,23075.0,5418.0,437.0,28878.0
70,2020-12-16,1,Eivissa,3295.0,379.0,26.0,3677.0
71,2020-12-17,1,Eivissa,3313.0,388.0,26.0,3704.0
71,2020-12-17,4,Menorca,762.0,179.0,15.0,955.0
71,2020-12-17,3,Mallorca,19202.0,4896.0,398.0,24469.0
71,2020-12-17,0,total-balears,23435.0,5512.0,440.0,29336.0
71,2020-12-17,2,Formentera,158.0,49.0,1.0,208.0
72,2020-12-18,0,total-balears,23435.0,5512.0,440.0,29336.0
72,2020-12-18,1,Eivissa,3313.0,388.0,26.0,3704.0
72,2020-12-18,2,Formentera,158.0,49.0,1.0,208.0
72,2020-12-18,3,Mallorca,19202.0,4896.0,398.0,24469.0
72,2020-12-18,4,Menorca,762.0,179.0,15.0,955.0
73,2020-12-19,0,total-balears,23435.0,5512.0,440.0,29336.0
73,2020-12-19,3,Mallorca,19202.0,4896.0,398.0,24469.0
73,2020-12-19,1,Eivissa,3313.0,388.0,26.0,3704.0
73,2020-12-19,2,Formentera,158.0,49.0,1.0,208.0
73,2020-12-19,4,Menorca,762.0,179.0,15.0,955.0
74,2020-12-20,0,total-balears,24042.0,6290.0,445.0,30726.0
74,2020-12-20,1,Eivissa,3329.0,408.0,26.0,3740.0
74,2020-12-20,3,Mallorca,19770.0,5660.0,403.0,25806.0
74,2020-12-20,2,Formentera,160.0,57.0,1.0,218.0
74,2020-12-20,4,Menorca,783.0,165.0,15.0,962.0
75,2020-12-21,1,Eivissa,3342.0,417.0,26.0,3762.0
75,2020-12-21,4,Menorca,792.0,158.0,15.0,964.0
75,2020-12-21,3,Mallorca,20001.0,5892.0,408.0,26275.0
75,2020-12-21,0,total-balears,24304.0,6524.0,450.0,31228.0
75,2020-12-21,2,Formentera,169.0,57.0,1.0,227.0
76,2020-12-22,2,Formentera,170.0,60.0,1.0,231.0
76,2020-12-22,1,Eivissa,3345.0,436.0,26.0,3784.0
76,2020-12-22,4,Menorca,801.0,157.0,15.0,972.0
76,2020-12-22,3,Mallorca,20304.0,6031.0,408.0,26717.0
76,2020-12-22,0,total-balears,24620.0,6684.0,450.0,31704.0
77,2020-12-23,2,Formentera,170.0,60.0,1.0,231.0
77,2020-12-23,3,Mallorca,20304.0,6031.0,408.0,26717.0
77,2020-12-23,4,Menorca,801.0,157.0,15.0,972.0
77,2020-12-23,0,total-balears,24620.0,6684.0,450.0,31704.0
77,2020-12-23,1,Eivissa,3345.0,436.0,26.0,3784.0
78,2020-12-24,4,Menorca,801.0,157.0,15.0,972.0
78,2020-12-24,0,total-balears,24620.0,6684.0,450.0,31704.0
78,2020-12-24,2,Formentera,170.0,60.0,1.0,231.0
78,2020-12-24,3,Mallorca,20304.0,6031.0,408.0,26717.0
78,2020-12-24,1,Eivissa,3345.0,436.0,26.0,3784.0
79,2020-12-25,2,Formentera,170.0,60.0,1.0,231.0
79,2020-12-25,4,Menorca,801.0,157.0,15.0,972.0
79,2020-12-25,3,Mallorca,20304.0,6031.0,408.0,26717.0
79,2020-12-25,1,Eivissa,3345.0,436.0,26.0,3784.0
79,2020-12-25,0,total-balears,24620.0,6684.0,450.0,31704.0
80,2020-12-26,1,Eivissa,3345.0,436.0,26.0,3784.0
80,2020-12-26,2,Formentera,170.0,60.0,1.0,231.0
80,2020-12-26,4,Menorca,801.0,157.0,15.0,972.0
80,2020-12-26,3,Mallorca,20304.0,6031.0,408.0,26717.0
80,2020-12-26,0,total-balears,24620.0,6684.0,450.0,31704.0
81,2020-12-27,1,Eivissa,3385.0,446.0,27.0,3835.0
81,2020-12-27,2,Formentera,185.0,72.0,2.0,259.0
81,2020-12-27,3,Mallorca,21333.0,6928.0,415.0,28650.0
81,2020-12-27,4,Menorca,831.0,164.0,15.0,1009.0
81,2020-12-27,0,total-balears,25734.0,7610.0,459.0,33753.0
82,2020-12-28,3,Mallorca,22133.0,6683.0,418.0,29209.0
82,2020-12-28,2,Formentera,195.0,65.0,2.0,262.0
82,2020-12-28,1,Eivissa,3437.0,424.0,27.0,3865.0
82,2020-12-28,0,total-balears,26612.0,7329.0,462.0,34354.0
82,2020-12-28,4,Menorca,847.0,157.0,15.0,1018.0
83,2020-12-29,1,Eivissa,3456.0,443.0,27.0,3903.0
83,2020-12-29,4,Menorca,858.0,158.0,15.0,1030.0
83,2020-12-29,2,Formentera,198.0,65.0,2.0,265.0
83,2020-12-29,0,total-balears,27102.0,7383.0,466.0,34902.0
83,2020-12-29,3,Mallorca,22590.0,6717.0,422.0,29704.0
84,2020-12-30,3,Mallorca,22590.0,6717.0,422.0,29704.0
84,2020-12-30,1,Eivissa,3456.0,443.0,27.0,3903.0
84,2020-12-30,0,total-balears,27102.0,7383.0,466.0,34902.0
84,2020-12-30,4,Menorca,858.0,158.0,15.0,1030.0
84,2020-12-30,2,Formentera,198.0,65.0,2.0,265.0
85,2020-12-31,4,Menorca,858.0,158.0,15.0,1030.0
85,2020-12-31,1,Eivissa,3456.0,443.0,27.0,3903.0
85,2020-12-31,3,Mallorca,22590.0,6717.0,422.0,29704.0
85,2020-12-31,0,total-balears,27102.0,7383.0,466.0,34902.0
85,2020-12-31,2,Formentera,198.0,65.0,2.0,265.0
86,2021-01-01,2,Formentera,198.0,65.0,2.0,265.0
86,2021-01-01,4,Menorca,858.0,158.0,15.0,1030.0
86,2021-01-01,1,Eivissa,3456.0,443.0,27.0,3903.0
86,2021-01-01,3,Mallorca,22590.0,6717.0,422.0,29704.0
86,2021-01-01,0,total-balears,27102.0,7383.0,466.0,34902.0
87,2021-01-02,2,Formentera,198.0,65.0,2.0,265.0
87,2021-01-02,1,Eivissa,3456.0,443.0,27.0,3903.0
87,2021-01-02,3,Mallorca,22590.0,6717.0,422.0,29704.0
87,2021-01-02,0,total-balears,27102.0,7383.0,466.0,34902.0
87,2021-01-02,4,Menorca,858.0,158.0,15.0,1030.0
88,2021-01-03,4,Menorca,872.0,207.0,15.0,1093.0
88,2021-01-03,2,Formentera,213.0,60.0,2.0,275.0
88,2021-01-03,3,Mallorca,23521.0,7907.0,433.0,31837.0
88,2021-01-03,0,total-balears,28094.0,8839.0,477.0,37362.0
88,2021-01-03,1,Eivissa,3488.0,665.0,27.0,4157.0
89,2021-01-04,0,total-balears,29651.0,7775.0,481.0,37862.0
89,2021-01-04,2,Formentera,235.0,41.0,2.0,278.0
89,2021-01-04,3,Mallorca,24991.0,6862.0,436.0,32268.0
89,2021-01-04,1,Eivissa,3540.0,661.0,27.0,4205.0
89,2021-01-04,4,Menorca,885.0,211.0,16.0,1111.0
90,2021-01-05,1,Eivissa,3540.0,661.0,27.0,4205.0
90,2021-01-05,4,Menorca,885.0,211.0,16.0,1111.0
90,2021-01-05,2,Formentera,235.0,41.0,2.0,278.0
90,2021-01-05,0,total-balears,29651.0,7775.0,481.0,37862.0
90,2021-01-05,3,Mallorca,24991.0,6862.0,436.0,32268.0
91,2021-01-06,1,Eivissa,3559.0,758.0,27.0,4321.0
91,2021-01-06,4,Menorca,899.0,227.0,16.0,1141.0
91,2021-01-06,2,Formentera,238.0,41.0,2.0,281.0
91,2021-01-06,0,total-balears,30023.0,8500.0,481.0,38959.0
91,2021-01-06,3,Mallorca,25327.0,7474.0,436.0,33216.0
92,2021-01-07,4,Menorca,908.0,248.0,16.0,1171.0
92,2021-01-07,0,total-balears,30670.0,8406.0,483.0,39514.0
92,2021-01-07,1,Eivissa,3601.0,831.0,27.0,4436.0
92,2021-01-07,3,Mallorca,25918.0,7289.0,438.0,33624.0
92,2021-01-07,2,Formentera,243.0,38.0,2.0,283.0
93,2021-01-08,1,Eivissa,3601.0,831.0,27.0,4436.0
93,2021-01-08,0,total-balears,30670.0,8406.0,483.0,39514.0
93,2021-01-08,4,Menorca,908.0,248.0,16.0,1171.0
93,2021-01-08,3,Mallorca,25918.0,7289.0,438.0,33624.0
93,2021-01-08,2,Formentera,243.0,38.0,2.0,283.0
94,2021-01-09,2,Formentera,243.0,38.0,2.0,283.0
94,2021-01-09,1,Eivissa,3601.0,831.0,27.0,4436.0
94,2021-01-09,4,Menorca,908.0,248.0,16.0,1171.0
94,2021-01-09,3,Mallorca,25918.0,7289.0,438.0,33624.0
94,2021-01-09,0,total-balears,30670.0,8406.0,483.0,39514.0
95,2021-01-10,4,Menorca,929.0,289.0,17.0,1234.0
95,2021-01-10,0,total-balears,31671.0,9086.0,491.0,41203.0
95,2021-01-10,2,Formentera,246.0,39.0,2.0,287.0
95,2021-01-10,3,Mallorca,26814.0,7556.0,445.0,34794.0
95,2021-01-10,1,Eivissa,3682.0,1202.0,27.0,4888.0
96,2021-01-11,0,total-balears,32068.0,9222.0,498.0,41744.0
96,2021-01-11,3,Mallorca,27135.0,7627.0,451.0,35193.0
96,2021-01-11,2,Formentera,252.0,35.0,2.0,289.0
96,2021-01-11,4,Menorca,950.0,283.0,17.0,1249.0
96,2021-01-11,1,Eivissa,3731.0,1277.0,28.0,5013.0
97,2021-01-12,1,Eivissa,3766.0,1471.0,29.0,5243.0
97,2021-01-12,3,Mallorca,27308.0,7903.0,454.0,35645.0
97,2021-01-12,2,Formentera,253.0,39.0,3.0,295.0
97,2021-01-12,4,Menorca,958.0,318.0,17.0,1292.0
97,2021-01-12,0,total-balears,32285.0,9731.0,503.0,42475.0
98,2021-01-13,3,Mallorca,27452.0,8110.0,456.0,35998.0
98,2021-01-13,1,Eivissa,3790.0,1740.0,31.0,5538.0
98,2021-01-13,0,total-balears,32463.0,10233.0,507.0,43159.0
98,2021-01-13,2,Formentera,253.0,42.0,3.0,298.0
98,2021-01-13,4,Menorca,968.0,341.0,17.0,1325.0
99,2021-01-14,3,Mallorca,28006.0,7941.0,457.0,36385.0
99,2021-01-14,0,total-balears,33097.0,10299.0,508.0,43862.0
99,2021-01-14,1,Eivissa,3858.0,1914.0,31.0,5781.0
99,2021-01-14,4,Menorca,979.0,392.0,17.0,1387.0
99,2021-01-14,2,Formentera,254.0,52.0,3.0,309.0
100,2021-01-15,0,total-balears,33097.0,10299.0,508.0,43862.0
100,2021-01-15,3,Mallorca,28006.0,7941.0,457.0,36385.0
100,2021-01-15,1,Eivissa,3858.0,1914.0,31.0,5781.0
100,2021-01-15,4,Menorca,979.0,392.0,17.0,1387.0
100,2021-01-15,2,Formentera,254.0,52.0,3.0,309.0
101,2021-01-16,0,total-balears,33097.0,10299.0,508.0,43862.0
101,2021-01-16,2,Formentera,254.0,52.0,3.0,309.0
101,2021-01-16,3,Mallorca,28006.0,7941.0,457.0,36385.0
101,2021-01-16,1,Eivissa,3858.0,1914.0,31.0,5781.0
101,2021-01-16,4,Menorca,979.0,392.0,17.0,1387.0
102,2021-01-17,0,total-balears,35122.0,9850.0,518.0,45448.0
102,2021-01-17,3,Mallorca,29656.0,7155.0,466.0,37258.0
102,2021-01-17,1,Eivissa,4163.0,2226.0,31.0,6398.0
102,2021-01-17,4,Menorca,1043.0,405.0,18.0,1465.0
102,2021-01-17,2,Formentera,260.0,64.0,3.0,327.0
103,2021-01-18,1,Eivissa,4300.0,2334.0,33.0,6645.0
103,2021-01-18,2,Formentera,264.0,67.0,3.0,334.0
103,2021-01-18,3,Mallorca,30075.0,7022.0,474.0,37552.0
103,2021-01-18,4,Menorca,1067.0,410.0,18.0,1494.0
103,2021-01-18,0,total-balears,35706.0,9833.0,528.0,46025.0
104,2021-01-19,0,total-balears,35706.0,9833.0,528.0,46025.0
104,2021-01-19,4,Menorca,1067.0,410.0,18.0,1494.0
104,2021-01-19,1,Eivissa,4300.0,2334.0,33.0,6645.0
104,2021-01-19,2,Formentera,264.0,67.0,3.0,334.0
104,2021-01-19,3,Mallorca,30075.0,7022.0,474.0,37552.0
105,2021-01-20,3,Mallorca,30075.0,7022.0,474.0,37552.0
105,2021-01-20,4,Menorca,1067.0,410.0,18.0,1494.0
105,2021-01-20,0,total-balears,35706.0,9833.0,528.0,46025.0
105,2021-01-20,2,Formentera,264.0,67.0,3.0,334.0
105,2021-01-20,1,Eivissa,4300.0,2334.0,33.0,6645.0
106,2021-01-21,3,Mallorca,30075.0,7022.0,474.0,37552.0
106,2021-01-21,4,Menorca,1067.0,410.0,18.0,1494.0
106,2021-01-21,1,Eivissa,4300.0,2334.0,33.0,6645.0
106,2021-01-21,2,Formentera,264.0,67.0,3.0,334.0
106,2021-01-21,0,total-balears,35706.0,9833.0,528.0,46025.0
107,2021-01-22,3,Mallorca,30075.0,7022.0,474.0,37552.0
107,2021-01-22,2,Formentera,264.0,67.0,3.0,334.0
107,2021-01-22,1,Eivissa,4300.0,2334.0,33.0,6645.0
107,2021-01-22,4,Menorca,1067.0,410.0,18.0,1494.0
107,2021-01-22,0,total-balears,35706.0,9833.0,528.0,46025.0
108,2021-01-23,1,Eivissa,4300.0,2334.0,33.0,6645.0
108,2021-01-23,3,Mallorca,30075.0,7022.0,474.0,37552.0
108,2021-01-23,4,Menorca,1067.0,410.0,18.0,1494.0
108,2021-01-23,0,total-balears,35706.0,9833.0,528.0,46025.0
108,2021-01-23,2,Formentera,264.0,67.0,3.0,334.0
109,2021-01-24,1,Eivissa,4300.0,2334.0,33.0,6645.0
109,2021-01-24,3,Mallorca,30075.0,7022.0,474.0,37552.0
109,2021-01-24,4,Menorca,1067.0,410.0,18.0,1494.0
109,2021-01-24,2,Formentera,264.0,67.0,3.0,334.0
109,2021-01-24,0,total-balears,35706.0,9833.0,528.0,46025.0
110,2021-01-25,3,Mallorca,30075.0,7022.0,474.0,37552.0
110,2021-01-25,4,Menorca,1067.0,410.0,18.0,1494.0
110,2021-01-25,0,total-balears,35706.0,9833.0,528.0,46025.0
110,2021-01-25,2,Formentera,264.0,67.0,3.0,334.0
110,2021-01-25,1,Eivissa,4300.0,2334.0,33.0,6645.0
111,2021-01-26,2,Formentera,264.0,67.0,3.0,334.0
111,2021-01-26,3,Mallorca,30075.0,7022.0,474.0,37552.0
111,2021-01-26,0,total-balears,35706.0,9833.0,528.0,46025.0
111,2021-01-26,1,Eivissa,4300.0,2334.0,33.0,6645.0
111,2021-01-26,4,Menorca,1067.0,410.0,18.0,1494.0
112,2021-01-27,3,Mallorca,33949.0,5400.0,520.0,39690.0
112,2021-01-27,0,total-balears,41980.0,8672.0,579.0,51013.0
112,2021-01-27,4,Menorca,1373.0,403.0,20.0,1788.0
112,2021-01-27,2,Formentera,311.0,141.0,3.0,452.0
112,2021-01-27,1,Eivissa,6347.0,2728.0,36.0,9083.0
113,2021-01-28,0,total-balears,42693.0,8425.0,585.0,51485.0
113,2021-01-28,2,Formentera,324.0,141.0,3.0,465.0
113,2021-01-28,1,Eivissa,6593.0,2706.0,37.0,9308.0
113,2021-01-28,4,Menorca,1397.0,408.0,20.0,1817.0
113,2021-01-28,3,Mallorca,34379.0,5170.0,525.0,39895.0
114,2021-01-29,1,Eivissa,6593.0,2706.0,37.0,9308.0
114,2021-01-29,4,Menorca,1397.0,408.0,20.0,1817.0
114,2021-01-29,2,Formentera,324.0,141.0,3.0,465.0
114,2021-01-29,0,total-balears,42693.0,8425.0,585.0,51485.0
114,2021-01-29,3,Mallorca,34379.0,5170.0,525.0,39895.0
115,2021-01-30,0,total-balears,42693.0,8425.0,585.0,51485.0
115,2021-01-30,3,Mallorca,34379.0,5170.0,525.0,39895.0
115,2021-01-30,1,Eivissa,6593.0,2706.0,37.0,9308.0
115,2021-01-30,4,Menorca,1397.0,408.0,20.0,1817.0
115,2021-01-30,2,Formentera,324.0,141.0,3.0,465.0
116,2021-01-31,3,Mallorca,35320.0,4632.0,534.0,40310.0
116,2021-01-31,1,Eivissa,7155.0,2603.0,40.0,9770.0
116,2021-01-31,4,Menorca,1491.0,346.0,21.0,1850.0
116,2021-01-31,2,Formentera,339.0,131.0,3.0,470.0
116,2021-01-31,0,total-balears,44305.0,7712.0,598.0,52400.0
117,2021-02-01,1,Eivissa,7268.0,2589.0,43.0,9872.0
117,2021-02-01,2,Formentera,342.0,132.0,3.0,474.0
117,2021-02-01,0,total-balears,44546.0,7682.0,605.0,52616.0
117,2021-02-01,4,Menorca,1498.0,356.0,21.0,1867.0
117,2021-02-01,3,Mallorca,35438.0,4605.0,538.0,40403.0
118,2021-02-02,1,Eivissa,7379.0,2635.0,45.0,10032.0
118,2021-02-02,2,Formentera,355.0,121.0,3.0,476.0
118,2021-02-02,4,Menorca,1525.0,353.0,22.0,1892.0
118,2021-02-02,3,Mallorca,35610.0,4564.0,541.0,40537.0
118,2021-02-02,0,total-balears,44869.0,7673.0,611.0,52937.0
119,2021-02-03,2,Formentera,355.0,121.0,3.0,476.0
119,2021-02-03,4,Menorca,1525.0,353.0,22.0,1892.0
119,2021-02-03,0,total-balears,44869.0,7673.0,611.0,52937.0
119,2021-02-03,3,Mallorca,35610.0,4564.0,541.0,40537.0
119,2021-02-03,1,Eivissa,7379.0,2635.0,45.0,10032.0
120,2021-02-04,4,Menorca,1586.0,347.0,23.0,1948.0
120,2021-02-04,0,total-balears,45870.0,7212.0,624.0,53494.0
120,2021-02-04,3,Mallorca,36156.0,4250.0,548.0,40778.0
120,2021-02-04,2,Formentera,376.0,104.0,3.0,480.0
120,2021-02-04,1,Eivissa,7752.0,2511.0,50.0,10288.0
121,2021-02-05,1,Eivissa,7752.0,2511.0,50.0,10288.0
121,2021-02-05,3,Mallorca,36156.0,4250.0,548.0,40778.0
121,2021-02-05,0,total-balears,45870.0,7212.0,624.0,53494.0
121,2021-02-05,4,Menorca,1586.0,347.0,23.0,1948.0
121,2021-02-05,2,Formentera,376.0,104.0,3.0,480.0
122,2021-02-06,4,Menorca,1586.0,347.0,23.0,1948.0
122,2021-02-06,2,Formentera,376.0,104.0,3.0,480.0
122,2021-02-06,0,total-balears,45870.0,7212.0,624.0,53494.0
122,2021-02-06,3,Mallorca,36156.0,4250.0,548.0,40778.0
122,2021-02-06,1,Eivissa,7752.0,2511.0,50.0,10288.0
123,2021-02-07,2,Formentera,407.0,76.0,4.0,484.0
123,2021-02-07,3,Mallorca,36690.0,3917.0,554.0,40986.0
123,2021-02-07,1,Eivissa,8259.0,2270.0,52.0,10556.0
123,2021-02-07,4,Menorca,1632.0,320.0,23.0,1967.0
123,2021-02-07,0,total-balears,46988.0,6583.0,633.0,53993.0
124,2021-02-08,2,Formentera,407.0,76.0,4.0,484.0
124,2021-02-08,4,Menorca,1632.0,320.0,23.0,1967.0
124,2021-02-08,3,Mallorca,36690.0,3917.0,554.0,40986.0
124,2021-02-08,0,total-balears,46988.0,6583.0,633.0,53993.0
124,2021-02-08,1,Eivissa,8259.0,2270.0,52.0,10556.0
125,2021-02-09,4,Menorca,1694.0,270.0,23.0,1979.0
125,2021-02-09,2,Formentera,431.0,58.0,4.0,490.0
125,2021-02-09,1,Eivissa,8709.0,1977.0,56.0,10717.0
125,2021-02-09,3,Mallorca,37350.0,3416.0,561.0,41153.0
125,2021-02-09,0,total-balears,48184.0,5721.0,644.0,54339.0
