,date,region_code,region,cases,recovered,active_cases,deceased
0,2020-10-07,07052,Sant Lluís,25.0,22.0,2.0,1.0
0,2020-10-07,07002,Alaior,16.0,14.0,2.0,0.0
0,2020-10-07,0,total-menorca,387.0,332.0,43.0,13.0
0,2020-10-07,07064,Es Castell,17.0,13.0,4.0,0.0
0,2020-10-07,07023,Ferreries,1.0,0.0,1.0,0.0
0,2020-10-07,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
0,2020-10-07,07037,Es Mercadal,25.0,21.0,1.0,3.0
0,2020-10-07,07032,Maó,98.0,83.0,10.0,6.0
0,2020-10-07,07015,Ciutadella de Menorca,204.0,178.0,23.0,3.0
1,2020-10-08,0,total-menorca,389.0,334.0,43.0,13.0
1,2020-10-08,07064,Es Castell,17.0,13.0,4.0,0.0
1,2020-10-08,07023,Ferreries,1.0,0.0,1.0,0.0
1,2020-10-08,07002,Alaior,16.0,14.0,2.0,0.0
1,2020-10-08,07037,Es Mercadal,26.0,22.0,1.0,3.0
1,2020-10-08,07032,Maó,98.0,83.0,10.0,6.0
1,2020-10-08,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
1,2020-10-08,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
1,2020-10-08,07052,Sant Lluís,25.0,22.0,2.0,1.0
2,2020-10-09,07002,Alaior,16.0,14.0,2.0,0.0
2,2020-10-09,07064,Es Castell,17.0,13.0,4.0,0.0
2,2020-10-09,07037,Es Mercadal,26.0,22.0,1.0,3.0
2,2020-10-09,07023,Ferreries,1.0,0.0,1.0,0.0
2,2020-10-09,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
2,2020-10-09,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
2,2020-10-09,07052,Sant Lluís,25.0,22.0,2.0,1.0
2,2020-10-09,0,total-menorca,389.0,334.0,43.0,13.0
2,2020-10-09,07032,Maó,98.0,83.0,10.0,6.0
3,2020-10-10,07002,Alaior,16.0,14.0,2.0,0.0
3,2020-10-10,07037,Es Mercadal,26.0,22.0,1.0,3.0
3,2020-10-10,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
3,2020-10-10,07023,Ferreries,1.0,0.0,1.0,0.0
3,2020-10-10,07032,Maó,98.0,83.0,10.0,6.0
3,2020-10-10,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
3,2020-10-10,07064,Es Castell,17.0,13.0,4.0,0.0
3,2020-10-10,07052,Sant Lluís,25.0,22.0,2.0,1.0
3,2020-10-10,0,total-menorca,389.0,334.0,43.0,13.0
4,2020-10-11,07037,Es Mercadal,26.0,22.0,1.0,3.0
4,2020-10-11,07052,Sant Lluís,25.0,22.0,2.0,1.0
4,2020-10-11,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
4,2020-10-11,07002,Alaior,16.0,14.0,2.0,0.0
4,2020-10-11,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
4,2020-10-11,07023,Ferreries,1.0,0.0,1.0,0.0
4,2020-10-11,07032,Maó,98.0,83.0,10.0,6.0
4,2020-10-11,0,total-menorca,389.0,334.0,43.0,13.0
4,2020-10-11,07064,Es Castell,17.0,13.0,4.0,0.0
5,2020-10-12,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
5,2020-10-12,07052,Sant Lluís,25.0,22.0,2.0,1.0
5,2020-10-12,07023,Ferreries,1.0,0.0,1.0,0.0
5,2020-10-12,07037,Es Mercadal,27.0,22.0,2.0,3.0
5,2020-10-12,07064,Es Castell,17.0,13.0,4.0,0.0
5,2020-10-12,07032,Maó,100.0,85.0,10.0,6.0
5,2020-10-12,07002,Alaior,16.0,14.0,2.0,0.0
5,2020-10-12,07015,Ciutadella de Menorca,209.0,180.0,26.0,3.0
5,2020-10-12,0,total-menorca,396.0,337.0,47.0,13.0
6,2020-10-13,07002,Alaior,16.0,14.0,2.0,0.0
6,2020-10-13,07015,Ciutadella de Menorca,213.0,183.0,27.0,3.0
6,2020-10-13,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
6,2020-10-13,07037,Es Mercadal,27.0,22.0,2.0,3.0
6,2020-10-13,07052,Sant Lluís,26.0,22.0,3.0,1.0
6,2020-10-13,07064,Es Castell,18.0,13.0,5.0,0.0
6,2020-10-13,07032,Maó,124.0,85.0,34.0,6.0
6,2020-10-13,0,total-menorca,426.0,340.0,74.0,13.0
6,2020-10-13,07023,Ferreries,1.0,0.0,1.0,0.0
7,2020-10-14,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
7,2020-10-14,07023,Ferreries,1.0,0.0,1.0,0.0
7,2020-10-14,07002,Alaior,16.0,14.0,2.0,0.0
7,2020-10-14,0,total-menorca,430.0,340.0,78.0,13.0
7,2020-10-14,07052,Sant Lluís,26.0,22.0,3.0,1.0
7,2020-10-14,07037,Es Mercadal,27.0,22.0,2.0,3.0
7,2020-10-14,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
7,2020-10-14,07032,Maó,124.0,85.0,34.0,6.0
7,2020-10-14,07064,Es Castell,18.0,13.0,5.0,0.0
8,2020-10-15,07023,Ferreries,1.0,0.0,1.0,0.0
8,2020-10-15,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
8,2020-10-15,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
8,2020-10-15,07037,Es Mercadal,27.0,22.0,2.0,3.0
8,2020-10-15,07002,Alaior,16.0,14.0,2.0,0.0
8,2020-10-15,07032,Maó,127.0,85.0,37.0,6.0
8,2020-10-15,07052,Sant Lluís,26.0,22.0,3.0,1.0
8,2020-10-15,07064,Es Castell,18.0,13.0,5.0,0.0
8,2020-10-15,0,total-menorca,433.0,340.0,81.0,13.0
9,2020-10-16,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
9,2020-10-16,07002,Alaior,16.0,14.0,2.0,0.0
9,2020-10-16,07037,Es Mercadal,27.0,22.0,2.0,3.0
9,2020-10-16,0,total-menorca,433.0,340.0,81.0,13.0
9,2020-10-16,07064,Es Castell,18.0,13.0,5.0,0.0
9,2020-10-16,07052,Sant Lluís,26.0,22.0,3.0,1.0
9,2020-10-16,07032,Maó,127.0,85.0,37.0,6.0
9,2020-10-16,07023,Ferreries,1.0,0.0,1.0,0.0
9,2020-10-16,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
10,2020-10-17,0,total-menorca,433.0,340.0,81.0,13.0
10,2020-10-17,07064,Es Castell,18.0,13.0,5.0,0.0
10,2020-10-17,07002,Alaior,16.0,14.0,2.0,0.0
10,2020-10-17,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
10,2020-10-17,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
10,2020-10-17,07032,Maó,127.0,85.0,37.0,6.0
10,2020-10-17,07052,Sant Lluís,26.0,22.0,3.0,1.0
10,2020-10-17,07023,Ferreries,1.0,0.0,1.0,0.0
10,2020-10-17,07037,Es Mercadal,27.0,22.0,2.0,3.0
11,2020-10-18,07023,Ferreries,1.0,0.0,1.0,0.0
11,2020-10-18,07032,Maó,129.0,87.0,37.0,6.0
11,2020-10-18,0,total-menorca,448.0,344.0,92.0,13.0
11,2020-10-18,07037,Es Mercadal,27.0,22.0,2.0,3.0
11,2020-10-18,07052,Sant Lluís,26.0,22.0,3.0,1.0
11,2020-10-18,07015,Ciutadella de Menorca,219.0,183.0,33.0,3.0
11,2020-10-18,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
11,2020-10-18,07064,Es Castell,19.0,15.0,4.0,0.0
11,2020-10-18,07002,Alaior,25.0,14.0,11.0,0.0
12,2020-10-19,07002,Alaior,25.0,14.0,11.0,0.0
12,2020-10-19,07052,Sant Lluís,26.0,23.0,2.0,1.0
12,2020-10-19,07015,Ciutadella de Menorca,225.0,184.0,38.0,3.0
12,2020-10-19,07032,Maó,133.0,88.0,40.0,6.0
12,2020-10-19,07064,Es Castell,20.0,15.0,5.0,0.0
12,2020-10-19,0,total-menorca,459.0,348.0,99.0,13.0
12,2020-10-19,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
12,2020-10-19,07023,Ferreries,1.0,1.0,0.0,0.0
12,2020-10-19,07037,Es Mercadal,27.0,22.0,2.0,3.0
13,2020-10-20,07023,Ferreries,1.0,1.0,0.0,0.0
13,2020-10-20,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
13,2020-10-20,07032,Maó,136.0,88.0,43.0,6.0
13,2020-10-20,07064,Es Castell,20.0,15.0,5.0,0.0
13,2020-10-20,07037,Es Mercadal,27.0,23.0,1.0,3.0
13,2020-10-20,07052,Sant Lluís,28.0,23.0,4.0,1.0
13,2020-10-20,07015,Ciutadella de Menorca,229.0,186.0,40.0,3.0
13,2020-10-20,07002,Alaior,25.0,14.0,11.0,0.0
13,2020-10-20,0,total-menorca,468.0,351.0,105.0,13.0
14,2020-10-21,07032,Maó,139.0,91.0,43.0,6.0
14,2020-10-21,07064,Es Castell,20.0,15.0,5.0,0.0
14,2020-10-21,07015,Ciutadella de Menorca,235.0,187.0,45.0,3.0
14,2020-10-21,07023,Ferreries,1.0,1.0,0.0,0.0
14,2020-10-21,07002,Alaior,26.0,14.0,12.0,0.0
14,2020-10-21,07037,Es Mercadal,27.0,24.0,0.0,3.0
14,2020-10-21,0,total-menorca,479.0,356.0,111.0,13.0
14,2020-10-21,07052,Sant Lluís,29.0,23.0,5.0,1.0
14,2020-10-21,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
15,2020-10-22,0,total-menorca,495.0,356.0,126.0,14.0
15,2020-10-22,07037,Es Mercadal,27.0,23.0,0.0,4.0
15,2020-10-22,07023,Ferreries,2.0,1.0,1.0,0.0
15,2020-10-22,07032,Maó,145.0,91.0,49.0,6.0
15,2020-10-22,07002,Alaior,28.0,14.0,14.0,0.0
15,2020-10-22,07052,Sant Lluís,29.0,23.0,5.0,1.0
15,2020-10-22,07015,Ciutadella de Menorca,242.0,188.0,51.0,3.0
15,2020-10-22,07064,Es Castell,20.0,15.0,5.0,0.0
15,2020-10-22,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
16,2020-10-23,07052,Sant Lluís,29.0,23.0,5.0,1.0
16,2020-10-23,07032,Maó,145.0,91.0,49.0,6.0
16,2020-10-23,07002,Alaior,28.0,14.0,14.0,0.0
16,2020-10-23,07064,Es Castell,20.0,15.0,5.0,0.0
16,2020-10-23,07023,Ferreries,2.0,1.0,1.0,0.0
16,2020-10-23,07015,Ciutadella de Menorca,242.0,188.0,51.0,3.0
16,2020-10-23,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
16,2020-10-23,07037,Es Mercadal,27.0,23.0,0.0,4.0
16,2020-10-23,0,total-menorca,495.0,356.0,126.0,14.0
17,2020-10-24,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
17,2020-10-24,07032,Maó,145.0,91.0,49.0,6.0
17,2020-10-24,07052,Sant Lluís,29.0,23.0,5.0,1.0
17,2020-10-24,07015,Ciutadella de Menorca,242.0,188.0,51.0,3.0
17,2020-10-24,07037,Es Mercadal,27.0,23.0,0.0,4.0
17,2020-10-24,07064,Es Castell,20.0,15.0,5.0,0.0
17,2020-10-24,07023,Ferreries,2.0,1.0,1.0,0.0
17,2020-10-24,0,total-menorca,495.0,356.0,126.0,14.0
17,2020-10-24,07002,Alaior,28.0,14.0,14.0,0.0
18,2020-10-25,07002,Alaior,31.0,14.0,17.0,0.0
18,2020-10-25,0,total-menorca,523.0,384.0,126.0,14.0
18,2020-10-25,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
18,2020-10-25,07064,Es Castell,22.0,16.0,6.0,0.0
18,2020-10-25,07037,Es Mercadal,28.0,23.0,1.0,4.0
18,2020-10-25,07015,Ciutadella de Menorca,253.0,193.0,57.0,3.0
18,2020-10-25,07023,Ferreries,2.0,1.0,1.0,0.0
18,2020-10-25,07052,Sant Lluís,30.0,24.0,5.0,1.0
18,2020-10-25,07032,Maó,155.0,111.0,39.0,6.0
19,2020-10-26,07052,Sant Lluís,30.0,24.0,5.0,1.0
19,2020-10-26,0,total-menorca,523.0,384.0,126.0,14.0
19,2020-10-26,07032,Maó,155.0,111.0,39.0,6.0
19,2020-10-26,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
19,2020-10-26,07037,Es Mercadal,28.0,23.0,1.0,4.0
19,2020-10-26,07023,Ferreries,2.0,1.0,1.0,0.0
19,2020-10-26,07015,Ciutadella de Menorca,253.0,193.0,57.0,3.0
19,2020-10-26,07002,Alaior,31.0,14.0,17.0,0.0
19,2020-10-26,07064,Es Castell,22.0,16.0,6.0,0.0
20,2020-10-27,07064,Es Castell,24.0,17.0,7.0,0.0
20,2020-10-27,07002,Alaior,31.0,15.0,16.0,0.0
20,2020-10-27,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
20,2020-10-27,07023,Ferreries,3.0,1.0,2.0,0.0
20,2020-10-27,0,total-menorca,540.0,395.0,132.0,14.0
20,2020-10-27,07037,Es Mercadal,28.0,23.0,1.0,4.0
20,2020-10-27,07052,Sant Lluís,30.0,24.0,5.0,1.0
20,2020-10-27,07032,Maó,163.0,114.0,44.0,6.0
20,2020-10-27,07015,Ciutadella de Menorca,259.0,199.0,57.0,3.0
21,2020-10-28,07052,Sant Lluís,31.0,24.0,6.0,1.0
21,2020-10-28,07023,Ferreries,3.0,1.0,2.0,0.0
21,2020-10-28,07032,Maó,166.0,115.0,46.0,6.0
21,2020-10-28,07064,Es Castell,25.0,17.0,8.0,0.0
21,2020-10-28,07037,Es Mercadal,28.0,23.0,1.0,4.0
21,2020-10-28,0,total-menorca,552.0,400.0,139.0,14.0
21,2020-10-28,07002,Alaior,32.0,15.0,17.0,0.0
21,2020-10-28,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
21,2020-10-28,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
22,2020-10-29,07037,Es Mercadal,28.0,23.0,1.0,4.0
22,2020-10-29,07064,Es Castell,25.0,17.0,8.0,0.0
22,2020-10-29,0,total-menorca,552.0,400.0,139.0,14.0
22,2020-10-29,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
22,2020-10-29,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
22,2020-10-29,07032,Maó,166.0,115.0,46.0,6.0
22,2020-10-29,07023,Ferreries,3.0,1.0,2.0,0.0
22,2020-10-29,07052,Sant Lluís,31.0,24.0,6.0,1.0
22,2020-10-29,07002,Alaior,32.0,15.0,17.0,0.0
23,2020-10-30,07064,Es Castell,25.0,17.0,8.0,0.0
23,2020-10-30,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
23,2020-10-30,0,total-menorca,552.0,400.0,139.0,14.0
23,2020-10-30,07037,Es Mercadal,28.0,23.0,1.0,4.0
23,2020-10-30,07032,Maó,166.0,115.0,46.0,6.0
23,2020-10-30,07002,Alaior,32.0,15.0,17.0,0.0
23,2020-10-30,07052,Sant Lluís,31.0,24.0,6.0,1.0
23,2020-10-30,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
23,2020-10-30,07023,Ferreries,3.0,1.0,2.0,0.0
24,2020-10-31,07023,Ferreries,3.0,1.0,2.0,0.0
24,2020-10-31,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
24,2020-10-31,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
24,2020-10-31,07032,Maó,166.0,115.0,46.0,6.0
24,2020-10-31,07002,Alaior,32.0,15.0,17.0,0.0
24,2020-10-31,07064,Es Castell,25.0,17.0,8.0,0.0
24,2020-10-31,07037,Es Mercadal,28.0,23.0,1.0,4.0
24,2020-10-31,0,total-menorca,552.0,400.0,139.0,14.0
24,2020-10-31,07052,Sant Lluís,31.0,24.0,6.0,1.0
25,2020-11-01,07032,Maó,174.0,124.0,45.0,6.0
25,2020-11-01,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
25,2020-11-01,07037,Es Mercadal,28.0,23.0,1.0,4.0
25,2020-11-01,07023,Ferreries,3.0,1.0,2.0,0.0
25,2020-11-01,07052,Sant Lluís,32.0,27.0,4.0,1.0
25,2020-11-01,07015,Ciutadella de Menorca,273.0,212.0,58.0,3.0
25,2020-11-01,07002,Alaior,32.0,23.0,9.0,0.0
25,2020-11-01,0,total-menorca,569.0,430.0,126.0,14.0
25,2020-11-01,07064,Es Castell,25.0,18.0,7.0,0.0
26,2020-11-02,07064,Es Castell,26.0,18.0,8.0,0.0
26,2020-11-02,07037,Es Mercadal,28.0,24.0,0.0,4.0
26,2020-11-02,07023,Ferreries,3.0,2.0,1.0,0.0
26,2020-11-02,07002,Alaior,32.0,23.0,9.0,0.0
26,2020-11-02,07015,Ciutadella de Menorca,278.0,220.0,55.0,3.0
26,2020-11-02,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
26,2020-11-02,0,total-menorca,580.0,442.0,125.0,14.0
26,2020-11-02,07032,Maó,179.0,126.0,48.0,6.0
26,2020-11-02,07052,Sant Lluís,32.0,27.0,4.0,1.0
27,2020-11-03,07015,Ciutadella de Menorca,279.0,226.0,50.0,3.0
27,2020-11-03,07032,Maó,179.0,137.0,37.0,6.0
27,2020-11-03,07064,Es Castell,26.0,19.0,7.0,0.0
27,2020-11-03,07023,Ferreries,3.0,3.0,0.0,0.0
27,2020-11-03,07052,Sant Lluís,32.0,29.0,2.0,1.0
27,2020-11-03,07002,Alaior,33.0,26.0,7.0,0.0
27,2020-11-03,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
27,2020-11-03,07037,Es Mercadal,28.0,24.0,0.0,4.0
27,2020-11-03,0,total-menorca,582.0,466.0,103.0,14.0
28,2020-11-04,07064,Es Castell,28.0,19.0,9.0,0.0
28,2020-11-04,07052,Sant Lluís,35.0,29.0,5.0,1.0
28,2020-11-04,07015,Ciutadella de Menorca,283.0,233.0,47.0,3.0
28,2020-11-04,07023,Ferreries,4.0,3.0,1.0,0.0
28,2020-11-04,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
28,2020-11-04,07002,Alaior,35.0,27.0,8.0,0.0
28,2020-11-04,07037,Es Mercadal,28.0,24.0,0.0,4.0
28,2020-11-04,07032,Maó,180.0,144.0,31.0,6.0
28,2020-11-04,0,total-menorca,595.0,481.0,101.0,14.0
29,2020-11-05,07052,Sant Lluís,35.0,29.0,5.0,1.0
29,2020-11-05,07023,Ferreries,4.0,3.0,1.0,0.0
29,2020-11-05,0,total-menorca,604.0,484.0,107.0,14.0
29,2020-11-05,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
29,2020-11-05,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
29,2020-11-05,07002,Alaior,39.0,27.0,12.0,0.0
29,2020-11-05,07032,Maó,183.0,146.0,32.0,6.0
29,2020-11-05,07037,Es Mercadal,28.0,24.0,0.0,4.0
29,2020-11-05,07064,Es Castell,28.0,19.0,9.0,0.0
30,2020-11-06,07002,Alaior,39.0,27.0,12.0,0.0
30,2020-11-06,07064,Es Castell,28.0,19.0,9.0,0.0
30,2020-11-06,0,total-menorca,604.0,484.0,107.0,14.0
30,2020-11-06,07052,Sant Lluís,35.0,29.0,5.0,1.0
30,2020-11-06,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
30,2020-11-06,07023,Ferreries,4.0,3.0,1.0,0.0
30,2020-11-06,07032,Maó,183.0,146.0,32.0,6.0
30,2020-11-06,07037,Es Mercadal,28.0,24.0,0.0,4.0
30,2020-11-06,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
31,2020-11-07,07064,Es Castell,28.0,19.0,9.0,0.0
31,2020-11-07,07023,Ferreries,4.0,3.0,1.0,0.0
31,2020-11-07,07037,Es Mercadal,28.0,24.0,0.0,4.0
31,2020-11-07,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
31,2020-11-07,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
31,2020-11-07,07052,Sant Lluís,35.0,29.0,5.0,1.0
31,2020-11-07,0,total-menorca,604.0,484.0,107.0,14.0
31,2020-11-07,07002,Alaior,39.0,27.0,12.0,0.0
31,2020-11-07,07032,Maó,183.0,146.0,32.0,6.0
32,2020-11-08,07032,Maó,187.0,150.0,32.0,6.0
32,2020-11-08,07015,Ciutadella de Menorca,290.0,241.0,46.0,3.0
